,Min,Bear,Bull,Max
Price/Mile,0.7,0.8,1.2,1.7
Price/Mile Asia,0.5,0.66,0.8,1.1
Costs/Mile,0.1,0.15,0.25,0.3
Platform fee,0.15,0.25,0.35,0.45
Hours/day,6,8,13,16
Days/week,4.5,5.6,6.5,7
Miles/hour,10,13,17,20
% ocupacy,0.35,0.45,0.65,0.69
Network Participation,0.2,0.25,0.35,0.4
Car Lifespan,8.5,9,11.5,13
