,Min,Bear,Bull,Max
USA,0.27,0.3,0.35,0.38
Canada,0.005,0.008,0.012,0.016
Europe,0.22,0.25,0.35,0.38
China,0.23,0.265,0.373,0.38
APAC excl China,0.01,0.03,0.065,0.072
